14,13,0,18,10,0,7,15,14,10,12,16,3,17,16,9,1,2,5,13,8,6,11,4,16,18,11,17,14,8,19,14,1,8,12,7,19,0,13,9,15,8,15,6,14,3,12,4,11,8
0,19,17,8,14,13,18,10,2,2,3,9,5,12,4,16,12,12,9,16,5,15,2,19,1,18,18,6,16,4,1,11,11,12,2,5,1,7,19,8,11,10,16,17,19,18,15,5,15,5
8,3,10,18,18,17,14,12,10,9,1,17,7,11,10,12,4,19,18,1,7,10,3,18,18,0,16,13,0,6,3,9,12,13,4,9,1,14,0,17,3,17,7,11,1,19,4,11,8,14
3,2,12,4,14,3,14,8,9,14,19,15,0,5,12,3,13,16,6,14,4,15,8,8,19,13,16,6,7,18,1,12,6,19,8,14,13,9,17,19,17,7,11,8,16,8,4,9,19,0
16,6,10,5,13,12,0,6,11,3,9,19,19,11,16,1,1,19,17,3,18,19,18,8,15,12,14,10,13,9,15,11,3,16,3,0,15,5,7,5,5,4,6,18,17,9,3,11,18,3
7,4,13,14,0,3,13,15,13,2,13,0,17,1,13,7,0,7,3,3,4,6,3,16,5,13,12,0,10,15,11,15,14,4,3,2,8,19,12,17,8,9,12,8,16,10,2,10,11,17
5,6,19,9,4,13,4,11,11,18,9,7,4,11,4,0,0,15,15,6,12,2,2,9,16,6,8,7,4,17,8,14,13,15,12,0,10,2,0,2,4,19,4,1,11,1,3,1,5,16
9,7,17,10,18,17,18,1,10,6,12,7,11,15,9,15,2,6,16,1,1,7,2,13,8,1,1,18,8,13,1,18,6,8,16,1,14,12,9,18,5,7,8,3,3,4,15,6,5,18
16,12,6,8,18,17,18,4,11,0,17,8,15,18,1,17,5,10,17,17,0,2,16,9,13,7,7,0,8,3,0,13,15,3,17,17,5,19,2,1,2,10,9,6,4,10,17,11,9,6
4,10,8,11,17,1,15,18,8,13,13,6,17,4,8,8,10,1,16,18,11,12,9,5,0,14,17,3,15,3,0,0,6,15,15,16,2,17,0,2,12,12,19,1,0,4,11,12,4,17
4,1,2,19,1,0,0,3,1,14,14,17,18,8,18,19,4,10,2,9,7,18,5,16,8,6,14,16,9,19,5,10,2,11,9,2,15,19,12,7,8,6,11,9,15,17,6,5,6,19
10,19,10,8,18,13,16,7,7,1,18,6,13,14,2,6,10,18,6,8,18,18,12,5,18,13,2,11,3,8,7,10,3,11,9,0,5,4,9,5,17,5,19,6,12,16,2,11,0,4
14,13,5,16,14,9,18,18,7,15,12,7,8,4,14,3,4,15,7,15,8,10,3,12,0,17,8,19,19,0,1,16,2,8,19,10,17,3,17,4,17,6,7,18,18,1,9,8,18,1
13,12,10,9,16,6,14,13,12,10,3,6,15,15,9,5,7,5,14,11,7,19,2,17,16,11,5,5,16,4,8,15,0,1,7,12,3,8,19,8,1,13,7,0,10,8,11,11,19,17
4,10,18,4,16,11,6,18,1,15,7,13,19,10,3,17,8,2,10,17,3,3,15,10,16,18,3,18,10,6,16,16,10,6,0,12,7,8,17,2,3,0,7,7,14,5,4,15,3,16
16,7,8,15,10,14,13,9,15,2,19,0,9,14,17,2,18,7,6,8,6,3,3,14,8,17,11,3,6,3,12,16,12,15,18,2,0,15,11,18,18,17,16,8,3,2,9,9,9,1
5,17,16,19,19,19,10,1,17,2,11,0,3,17,8,5,14,9,0,5,6,7,18,7,4,9,9,8,2,10,12,0,5,8,12,14,6,18,8,14,15,12,12,18,11,0,3,8,11,15
12,0,7,13,7,9,15,5,2,4,15,1,15,15,8,13,6,9,1,18,13,3,6,1,18,3,16,0,17,14,14,16,17,4,17,9,4,6,4,0,12,17,1,16,1,6,7,8,4,12
9,19,5,11,13,12,7,10,0,16,0,9,3,17,16,0,18,5,6,14,5,0,5,18,18,16,2,3,12,7,10,13,11,13,17,3,8,16,14,14,2,9,10,6,8,15,13,19,9,15
19,11,10,1,3,9,5,9,7,4,14,17,19,15,16,19,14,3,11,12,17,6,2,17,19,16,8,2,12,18,13,7,16,8,5,6,14,14,1,3,7,2,7,7,18,11,4,13,7,13
9,11,14,16,10,11,14,5,14,5,4,6,19,17,14,13,17,9,9,1,16,16,6,11,8,1,4,6,8,19,4,18,17,2,15,4,18,0,8,1,12,16,5,6,2,16,19,17,12,10
0,1,9,18,10,6,9,12,3,12,9,11,9,5,11,18,14,18,12,12,14,13,2,6,15,14,9,19,6,10,5,10,10,0,5,13,14,19,0,0,3,8,18,6,8,6,14,16,5,1
13,16,1,11,14,0,9,14,11,1,11,11,7,16,10,18,7,17,7,18,15,5,1,5,5,13,1,10,5,10,2,3,19,14,17,16,4,1,13,1,0,6,2,9,11,1,16,3,2,2
